Title,Year,Abstract
Politeness Strategies Performed By Lecturers In Proposal Seminars In English Study Program Faculty Of Cultural Studies At Universitas Brawijaya,2014,"Keywords: face threatening acts, politeness strategies, lecturer This study is about politeness
strategies performed by lecturers in EnglishStudy Program at Universitas Brawijaya. There …"
[PDF] Innovation of Integrative-Interconnective Islamiuc Education Based on Direct Experience in Universitas Brawijaya Malang,2020,"… education learning innovations in Universitas Brawijaya, namely integrative-interconnective …
Islamic education Learning in Universitas Brawijaya directed as integrative learning. …"
A Study On Language Learning Strategies Used By International Class Students At Faculty Of Law Universitas Brawijaya,2013,"… pada ajaran tahun 2010 di Fakultas Hukum kelas bahasa Inggris Universitas Brawijaya. …
pada ajaran tahun 2010 Fakultas Hukum Universitas Brawijaya. Data studi ini didapat dari …"
Soil management practices in coffee-based agroforestry systems within Universitas Brawijaya Forest impact on maintaining soil carbon stock,2021,"… The research aimed to assess soil carbon stock in smallholder agroforestry systems within
Universitas Brawijaya (UB) Forest, East Java. The study was conducted on two different types …"
[PDF] Gastronomy tourism in several neighbor countries of Indonesia: A brief review,2014,"Gastronomy tourism, also called culinary tourism or food tourism, is a kind of tourism that
provide attractions based on the culinary aspect owned by a country, region, or area. It is not …"
"[PDF] … and Impact on Purchasing Decision (Case Study on Student of The Faculty of Administrative Sciences, Universitas Brawijaya WHO Purchase Tupperware …",2023,"This research aims to clarify (1) the influence of green marketing to brand image,(2) the
influence of green marketing to the purchase decision (3) the influence of brand image to the …"
"[PDF] Avifaunal Diversity and Community Structure in Universitas Brawijaya Forest, East Java, Indonesia",2021,"… Universitas Brawijaya Forest (UBF) serves as an education forest under the management of
Universitas Brawijaya. … We are grateful to Universitas Brawijaya for supporting this research. …"
"[PDF] Causes, consequences and coping strategies of land degradation: evidence from Ethiopia",2019,"This paper aims to give emphasis on the causes and consequences of land degradation in
Ethiopia. The results from different literatures indicate that the major factors that cause land …"
The Correlation between Students' Self-Efficacy and Students' English Learning Achievement in English Language Education Program Universitas Brawijaya,2019,"… Inggris Universitas Brawijaya. Studi ini menggunakan desain kuantitatif dengan motode
korelasi. Ada 35 mahasiswa Program Studi Pendidikan Bahasa Inggris Universitas Brawijaya …"
Public Speaking Anxiety Levels among English Department Students of Universitas Brawijaya.,2016,"… Universitas Brawijaya. Ada dua masalah penelitian: (1) Apa tingkat kecemasan berbicara
publik oleh mahasiswa Fakultas ILMU Budaya Universitas Brawijaya … Universitas Brawijaya …"
… (IMC) on brand equity and purchase decision (survey on indosat-M3 customers among members of unit Aktivitas band Universitas Brawijaya class of 2014),2016,"This study aimed to examine the influence of variable integrated marketing communication (IMC)
on brand equity; to examine the indirect influence of variable integrated marketing …"
Design and build an Android-based Occupational Health and Safety Information System application for Universitas Brawijaya,2023,"… tailored specifically for Universitas Brawijaya. The proposed … ) application developed for
Universitas Brawijaya serves as a … improvement of the OHS practices at Universitas Brawijaya. …"
The language metafungtion of texs used as english teching materials for water resources engineering students school of engineering Universitas Brawijaya,2012,"Kata kunci analisis teks fungsional metafungsi bahasa hubungan logis dalam kalimat
majemuk Dengan menggunakan desain kualitatif konten analisis sebagai metode studi ini …"
The impact of website quality on consumer satisfaction and purchase intention (study case of e-commerce Lazada Indonesia in Malang city),2018,"Penelitian ini bertujuan untuk (1) menjelaskan pengaruh Website Quality terhadap Consumer
Satisfaction, (2) menjelaskan pengaruh Consumer Satisfaction terhadap Purchase …"
Error analysis of expository text produced by semester eight students of study program of English faculty of culture studies Universitas Brawijaya,2012,"Bahasa Inggris sebagai bahasa internasional memiliki peran penting untuk mengembangkan
ilmu pengetahuan dan teknologi. Dalam hal ini, pelajar Indonesia diwajibkan untuk …"
Complaint strategy of EFL learners from the perspective of discourse completion task (A case study of students of English department universitas Brawijaya),2015,"… Mahasiswa Sastra Inggris Universitas Brawijaya semester lima … oleh mahasiswa Sastra
Inggris Universitas Brawijaya dan (2) … Sastra Inggris Universitas Brawijaya semester lima dan …"
Environmental effects of ecotourism in Indonesia,2013,"The ecotourism is global issues who most talked lately in Indonesia, it is one of the activities
special tourist interest which low impacts on natural tourism. The presence of ecotourism in …"
"Traceability of Halal Control Point in material, production, and serving to support halal certification in Universitas Brawijaya canteen",2021,"… This study aims to trace the HCP on materials, processing and serving in Universitas
Brawijaya (UB) Canteen, then provide improvement. This research used seven criteria of HAS…"
"Error Analysis of Descriptive Paragraphs Made by Students of Study Program of English, Faculty of Culture Studies Universitas Brawijaya.",2013,"… Data terdiri dari tiga puluh deskriptif paragraf yang dibuat oleh mahasiswa semester dua
Fakultas Ilmu Budaya Universitas Brawijaya. Di dalam pengumpulan data, penulis …"
"The effect of brand image, brand trust, and brand personality towards customer loyalty (A Study on samsung smartphone users in Universitas Brawijaya)",2021,"… pengguna Samsung Smartphone di lingkungan Universitas Brawijaya. Penelitian eksplanatori
ini … Samsung Smartphone dan juga Mahasiswa Universitas Brawijaya. Analisis data yang …"
… Study On Communication Strategies Used By The First Year Students Of English Language Education Program In Faculty Of Cultural Studies At Universitas Brawijaya,2017,"… kuantitatif dengan survei sebagai desain yang melibatkan 120 mahasiswa tahun pertama
program studi Pendidikan Bahasa Inggris di Fakultas Ilmu Budaya, Universitas Brawijaya. …"
Effects of biochar amendment and arbuscular mycorrhizal fungi inoculation on availability of soil phosphorus and growth of maize,2014,"A glasshouse experiment was conducted to study the interactive effects of biochar amendment
and arbuscular mycorrhizal fungi (AMF) inoculation on phosphorus uptake by maize (Zea …"
The potential of Tithonia diversifolia green manure for improving soil quality for cauliflower (Brassica oleracea var. Brotrytis L.),2016,"This study aimed to analyze the effect of Tithonia diversifolia green manure and cow manure
on soil quality and yield of cauliflower. A field experiment was conducted in the village of …"
[PDF] Large scale mining in Ghana: a review of the implications on the host communities,2021,"Article history: Received 15 July 2021 Accepted 18 September 2021 Published 1 October
2021 Following the implementation of the Structural Adjustment Program (SAP) in 1983, …"
"[PDF] The influence of hard skill, soft skill, and social motive on the work readiness of accounting students of universitas brawijaya in the industrial revolution 4.0 era",2020,"… Penelitian ini bertujuan untuk mengetahui kesiapan kerja mahasiswa akuntansi Fakultas
Ekonomi dan Bisnis Universitas Brawijaya di era revolusi industri 4.0 ditinjau dari aspek hard …"
[PDF] Soil arthropod diversity and composition inhabited various habitats in Universitas Brawijaya Forest in Malang East Java Indonesia,2019,"A study on soil arthropod abundance, diversity and composition have been done on November
2016 to March 2017 using pitfall traps. The objective of this study is to analyze variations …"
Politeness Strategy in Responding Compliment among Students of English Education Department in 8th Semester Based on Gender in Universitas Brawijaya.,2015,"Bahasa adalah bagian terpenting dalam berkomunikasi. Dalam berkomunikasi setiap orang
harus mengikuti tata cara berkomunikasi yang disesuaikan dengan budaya dan norma …"
… Towards Early Detection Of Cervical Cancer With The Level Of Participation In Pap Smear Test On Female Employees In Medical Faculty Of Universitas Brawijaya.,2019,"… di fakultas kedokteran Universitas Brawijaya menggunakan lembar kuesioner … Universitas
Brawijaya. Data diambil 100 karyawan wanita di fakultas kedokteran Universitas Brawijaya. …"
Reading miscue analysis of second semester students in study program of English Universitas Brawijaya,2013,"… Penulis mengadakan studi analisa kekeliruan membaca pada tiga pembaca yang baik
pada mahasiswa semester dua jurusan Sastra Inggris Universitas Brawijaya. Karena hal itu …"
A Survey of English Language Learning Motivation and Preferred Activities of Non-English Department Students at Universitas Brawijaya,2019,"… Penelitian ini bertujuan untuk mencari tipe motivasi siswa di Universitas Brawijaya dan
kegiatan pilihan mereka di kelas bahasa Inggris. Penelitian ini adalah penelitian survei yang …"
The Application Of Language Learning Strategies And Their Relationship With English Proficiency: A Study At International Undergraduate Program Of Faculty Of …,2012,"… Objek yang diteliti adalah 73 mahasiswa program internasional tahun akademik 2012 Fakultas
Ekonomi dan Bisnis di Universitas Brawijaya yang diambil secara acak. Data yang diteliti …"
… of Differentiated Instructional Strategies for Blind Student in English Learning: A Case Study on Bahasa Inggris Terjemahan Class in Universitas Brawijaya,2019,"… Oleh karena itu, penelitian ini mencoba menjelaskan penerapan DIS untuk siswa tunanetra
di kelas Bahasa Inggris Terjemahan (Bahasa Inggris) di Universitas Brawijaya. Jenis …"
Exploration of indigenous soil bacteria producing-exopolysaccharides for stabilizing of aggregates land potential as biofertilizer,2016,"Steady soil aggregationis important for agricultural land which is formed by the micro
aggregate to become a macro-aggregate. This formation is mediated by organic material and …"
"Transformational leadership, organizational culture, quality assurance, and organizational performance: Case study in Islamic higher education institutions (IHEIS)",2020,"This study aims to examine the relationship between transformational leadership,organizational
culture, quality assurance, and organizational performance. It also examinedthe …"
Driving Performance and Retention to Employee Engagement: A Case Study of University of Brawijaya,2012,"Tujuan studi adalah mengukur keterlibatan karyawan dan kinerja mengemudi dan tingkat
retensi dan tingkat investigasi kinerja dan faktor-faktor retensi yang dipengaruhi atau …"
Correlational Study between Gender and Foreign Language Anxiety (FLA) among Junior Students of English Study Program at Universitas Brawijaya.,2015,"… Dalam mengumpulkan data, penulis mengambil 51 siswa junior (tahun ketiga) program
studi bahasa Inggris di Universitas Brawijaya (25 siswa laki-laki dan 26 siswa perempuan) …"
Rhetorical Moves in Research Article Introduction of Students of Linguistics Master Program in Universitas Brawijaya,2019,"Tesis ini menyajikan studi tentang pergerakan retorika dalam pendahuluan artikel penelitian
disusun oleh mahasiswa Magister Linguistik. Oleh karena itu, peneliti merumuskan satu …"
"Ecological and social evaluation of coastal tourism destination development: a case study of Balekambang, East Java",2014,"Tourism is an important sector in developing countries to support economic growth, and coastal
areas are famous destinations in tourism. The plan and design for Balekambang coastal …"
The CIPP Model-Based Evaluation on Information Technology Competence Certification Program at Universitas Brawijaya.,2021,"… In Universitas Brawijaya, certification is carried out as a means to increase student …
between the Ministry of Higher Education and Universitas Brawijaya. The input aspect of the …"
[PDF] Merit System in Administration and Supervising Staff Career Promotion in Universitas Brawijaya,2020,"… Based on the result of this study, it can be concluded that Universitas Brawijaya has applied
merit-based system Administration and supervising staff promotion in Universitas Brawijaya …"
Effects of humic acid-based cation buffer on chemical characteristics of saline soil and growth of maize,2014,"Humic acid is believed to maintain the stability of the soil reaction, adsorption/fixation/cationic
chelate, thereby increasing the availability of water and plant nutrients. On the other hand, …"
Yield response of ten varieties of sweet potato (Ipomoea batatas L.) cultivated on dryland in rainy season,2017,"Sweet potato is a tuber commodity and one of alternative crops in Indonesia. The demand of
sweet potato in Indonesia continues to increase. However, the supply of sweet potatoes for …"
"[PDF] Azotobacter population, soil nitrogen and groundnut growth in mercury-contaminated tailing inoculated with Azotobacter",2018,"Gold mine tailing in Buru island, Maluku Province, Indonesia contains high level of mercury
but low in carbon and plant nutrients. Revegetation in such condition needs certain soil …"
"[PDF] Effects of biochar and crop residues application on chemical properties of a degraded soil of South Malang, and P uptake by maize",2015,"Low productivity of food crops on marginal dry lands of South Malang, East Java occurs due
to low levels of soil fertility in the region due to low soil organic matter content and low …"
Isolation of indigenous bacteria of phosphate solubilizing from green bean rhizospheres,2017,"The use of phosphate-solubilizing bacteria (PSB) as a biological fertilizer of Agricultural land
is one solution to overcome problem of phosphate availability for plants. However, often …"
[PDF] Analyzing The Role Of Organizational Commitment And Job Satisfaction In Minimizing Turnover Intention,2022,"As an organization, hospitals should always make efforts to improve the performance of their
employees because those employees will help the hospitals to attain their vision, mission, …"
[PDF] The potential of phosphate solubilizing bacteria isolated from sugarcane wastes for solubilizing phosphate,2014,"Most of P in agricultural soils is in unavailable forms for plant growth. Phosphate solubilizing
bacteria can increase soil P availability. This study was aimed to isolate phosphate …"
… And Lexical Cohesion Used In The Thesis Abstracts Written By Students Of Academic Year 2012 Of English Language Education Program of Universitas Brawijaya.,2017,"… Oleh karena itu, peneliti melakukan penelitian melalui analisis penulisan abstrak skripsi
yang di tulis oleh mahasiswa jurusan pendidikan bahasa inggris universitas brawijaya …"
"[PDF] Monitoring water quality using biotic indices of benthic macroinvertebrates along surfaces water ecosystems in some tourism areas in East Java, Indonesia",2016,"The research aimed to monitor surface water quality by using water quality index NSF-WQI
and accurate biotic index of benthic macroinvertebrate. This study was conducted in …"
Forecasting the basic conditions of Indonesia's rice economy 2019-2045,2021,"By 2045, Indonesia's population is expected to reach 321.4 million, the fifth largest in the
world after China, India, Nigeria, and the United States. It is an excellent challenge for …"
[PDF] Soil macrofauna diversity and structure under different management of pine-coffee agroforestry system,2019,"The role of tropical forests for maintaining environmental functions is decreasing due to the
rapid changes to agricultural purposes. Agroforestry system is assumed to be an alternative …"
A Case Study of Lecturer's Direct Corrective Feedback in Thesis Proposal Writing Class at Universitas Brawijaya,2021,"… Dengan mengadakan penelitian ini akan membantu dan sebagai refkelsi dalam pengajaran
di kelas Thesis Proposal Writing di Universitas Brawijaya. Untuk mengadakan penelitian ini…"
[PDF] Halal tourism promotion in Indonesia: An analysis on official destination websites,2018,"Nowadays, Halal tourism has become a popular form of tourism which attracting many
countries to capitalize on the Muslim market. However, because of the Islamic law, targeting this …"
[HTML] The effect of replacing fish meal with fermented sago larvae (FSL) on broiler performance,2021,"The purpose of this study was to determine the effect of substitution of fishmeal by fermented
sago larvae meal on the performance of broilers. There were 5 treatments of fermented …"
"Pilgrimage tourism events in Indonesia: Examining the relationship of behavioral belief, motivation to comply, attitudes, subjective norms, and intention to partake",2022,"For decades, the close link between pilgrims and tourists has been recognized by medieval
scholars and tourism historians and has been the subject of further research in recent years. …"
[PDF] Utilization of crops residues as compost and biochar for improving soil physical properties and upland rice productivity,2016,"The abundance of crops waste in the agricultural field can be converted to organic fertilizer
throughout the process of composting or pyrolysis to return back into the soil. The study …"
[HTML] The effect of replacing fish meal with Sago larvae meal (SLM) on egg production and quality of laying hens,2021,"The purpose of this study was to determine the effect of substitution of fishmeal by Sago larvae
meal (SLM) on the egg production and quality of laying hens. There were 5 treatments of …"
Developing A Content-Based Syllabus For Study Program Of Anthropology In Faculty Of Cultural Studies Universitas Brawijaya,2016,"… (SPA) at Faculty of Cultural Studies Universitas Brawijaya since this study program has not
… validated by the expert of ESP syllabus from Universitas Brawijaya. After validating, it is tried …"
Strategic management of nature-based tourism in Ijen Crater in the context of sustainable tourism development,2015,"The aim of the study is to define the strategic management of nature based tourism in Ijen
crater, East Java. From the perspectives of accessibility, problems facing by accessibility are …"
The Effect Of Audit Committee Characteristics On Timeliness Of Financial Reporting By Using Auditor Quality As The Moderating Variable (An Empirical Study On …,2016,"This study examines effects of audit committee independence, audit committee activity, audit
committee competence, and moderating auditor quality on timeliness of financial reporting …"
[PDF] Mining waste contaminated lands: an uphill battle for improving crop productivity,2013,"Mining drastically alters the physico-chemical and biological environment of the landscape.
Low organic matter content, unfavourable pH, low water holding capacity, salinity, coarse …"
Improvement of soil available water capacity using biopore infiltration hole with compost in a coffee plantation,2021,"Coffee plantation management has an important role in soil quality in order to increase coffee
production. Biopore Infiltration Hole with Compost (BIHC) can increase soil available water …"
"The causes, consequences and remedies of deforestation in Ethiopia",2019,"Forests are one of the most valuable ecosystems in the world, containing over 60% of the
world’s biodiversity. This ecosystem has multiple social economic values, apart from its …"
The assessment of soil quality of various age of land reclamation after coal mining: a chronosequence study,2017,"The assessment of soil quality index is one of the parameters to evaluate the goal of land
reclamation. The research has been done in the various age of soil of PT Adaro Indonesia and …"
Chemical composition of vermicompost made from organic wastes through the vermicomposting and composting with the addition of fish meal and egg shells flour,2017,"Chemical composition of compost is an important indicator that determines the quality of
compost. This study compared the chemical composition of vermicompost resulting from the …"
Using PRAAT for Analysing Segmental Features of Speech Produced by the Students of English Study Program of Universitas Brawijaya,2016,"… of The Study Program of English Universitas Brawijaya have typical segmental features which
… of Study Program of English Universitas Brawijaya were given modification to improve the …"
"Effect of good corporate governance, financial distress, and financial performance on timeliness of financial statements reporting",2014,"Penelitian ini bertujuan untuk menguji secara empiris apakah Good Corporate Governance
(komite audit dan kepemilikan manajerial), kesulitan keuangan serta kinerja keuangan …"
"Plant species from coal mine overburden dumping site in Satui, South Kalimantan, Indonesia",2017,"Coal mine overburden (OB) materials were nutrient-poor, loosely adhered particles of shale,
stones, boulders, and cobbles, also contained elevated concentration of trace metals. This …"
"Ecotourism development strategy of pelawan forest in central bangka, bangka belitung",2017,"Ecotourism has a very important role in increasing the community income, cultural preservation,
and environmental conservation efforts at a tourist attraction. This study aims to create …"
[PDF] Potency of six isolates of biocontrol agents endophytic Trichoderma against fusarium wilt on banana,2017,"Fusarium wilt caused by F. oxysporum f. sp. cubense is one of very damaging banana plant
diseases which can cause plant death. Disease control using intensive chemical fungicides …"
"Isolation and identification on microorganism decomposers of Palu local cow manure of Central Sulawesi, Indonesia",2016,"Microbial decomposers are living things posessing an important role in outlining materials
derived from organic compounds entering the environment as plant nutrients so that they …"
Registers Used in AIESEC Local Committee of Universitas Brawijaya.,2017,"… LC Universitas Brawijaya beserta artinya… Universitas Brawijaya dan (3) proses apa saja
yang terdapat dalam pembentukan register yang digunakan di AIESEC LC Universitas Brawijaya…"
"[PDF] Seawater intrusion assessment and prediction of sea-freshwater interface in Parangtritis coastal aquifer, South of Yogyakarta Special Province, Indonesia",2021,"Article history: Received 9 January 2021 Accepted 11 February 2021 Published 1 April 2021
The Parangtritis area is a tourist destination in Yogyakarta, Indonesia, consisting of dunes …"
"[PDF] The impact of mangrove damage on tidal flooding in the subdistrict of Tugu, Semarang, Central Java",2021,"Article history: Received 9 July 2021 Accepted 31 July 2021 Published 1 October 2021
Expansion of industrial areas, aquaculture, settlements, and limited knowledge of the community …"
[PDF] Politeness strategies in text messaging (A case study of students' text messages to the lecturers in English study program Universitas Brawijaya),2017,"… To fulfil the needs of this research, the following research problems are formulated: (1) What
are the politeness strategies in requesting and giving information used by English Study …"
Organic amendments effect on the soil chemical properties of marginal land and soybean yield,2020,"Land use change is increasing, causing a lack of optimal land for agriculture. Marginal land
improvement can be made with the application of organic amendments that can improve soil …"
"[PDF] Land suitability evaluation of abandoned tin-mining areas for agricultural development in Bangka Island, Indonesia",2017,"Kepulauan Bangka Belitung, Indonesia is one of the tin mineral-producer in the world.
Agricultural crops could be a wise option for the reclamation since abandoned tin-mining lands …"
Genetic diversity of porang populations (Amorphophallus muelleri Blume) in Central Java and West Java based on LEAFY second intron marker,2016,"Porang (Amorphophallus muelleri Blume) is dispersed and grew well in Java island. This
research aimed to determine the genetic diversity of porang populations in Central Java and …"
"The use of pineapple liquid waste and cow dung compost to improve the availability of soil N, P, and K and growth of pineapple plant in an Ultisol of Central Lampung",2018,"A study that was aimed to elucidate the effect of adding pineapple liquid waste and cow dung
compost in increasing the availability of soil N, P, K, contents of N, P, K in pineapple leaves …"
[PDF] The role of social capital in community based tourism,2019,"The role of social capital in Community-based tourism (CBT) to reach local communities’
welfare is being the concern of tourism activities. Previous research found that social capital …"
Analysis of factors influencing user intention in using Ovo application,2019,"… Responden dalam penelitian ini adalah 322 mahasiswa S1 jurusan akuntansi di Universitas
Brawijaya Malang, yang memiliki pengalaman dalam menggunakan layanan aplikasi OVO. …"
"[PDF] Factors affecting level of participation in the management of mangroves as ecotourism attraction: lesson learned from Cengkrong Watulimo, Trenggalek",2017,"Ecotourism development can not be separated from the social aspects of the people living
around the tourist sites. One indicator that a tourist location is said to be ecotourism-based is …"
Determining Factors of Student's Entrepreneurial Intention in Indonesia: A Meta-Analysis,2019,"This study aims to conduct a meta-analysis on determining factors that affect student’s
entrepreneurial intention. There are a variety of findings from several studies on the influence of …"
[PDF] Estimation of soil erosion for a sustainable land use planning: RUSLE model validation by remote sensing data utilization in the Kalikonto watershed,2015,"Technology of Geographic Information Systems (GIS) and Remote Sensing (RS) are increasingly
used for planning and natural resources management. GIS and RS is based on pixels …"
Utilization of maize cob biochar and rice husk charcoal as soil amendment for improving acid soil fertility and productivity,2014,"The decline in soil fertility in agricultural land is a major problem that causes a decrease in
the production of food crops. One of the causes of the decline in soil fertility is declining soil …"
"[PDF] Copper and arsenic accumulation of Pityrogramma calomelanos, Nephrolepis biserrata, and Cynodon dactylon in Cu-and Au-mine tailings",2020,"Metallophytes are group of plants that can thrive on metal-rich substrate. These plants have
potential in various green technologies. However, it is a must to first identify plants that can …"
Staycation during covid-19 pandemic with virtual tourism: Tele-tourist attitude toward experience in cultural heritage destination,2021,"Malang City, Indonesia, is known as the Paris van oost Java and was officially named the City
of Heritage because of the high interest of domestic and foreign tourists to trace the history …"
Application of bokashi and sunn hemp (Crotalaria juncea L.) to improve inorganic fertilizer efficiency on maize (Zea mays L.),2015,"A field experiment was conducted lo learn about the effect of Bokashi and Sunn hemp (Crotalaria
junceaL.) on maize production and inorganic fertilizer use efficiency on maize. The …"
[PDF] Tourism destination in remote area: problems and challenges of tourism development in North Halmahera as remote and border areas of Indonesia-Philippines,2018,"This paper will describe the problems and challenges in North Halmahera tourism development
and describe the coordination, resources, disposition of executor and bureaucratic …"
"The Influence Of Perceived Usefulness, Ease Of Use, Trust, And Risk Towards Gojek Actual Usage With Behavioral Intention To Use As Intervening Variable",2019,"… Responden dalam penelitian ini adalah 581 mahasiswa aktif jurusan akuntansi Fakultas
Ekonomi dan Bisnis, Universitas Brawijaya tahun akademik 2015 dan 2016. Data penelitian …"
Students' Attitude Towards Group Work Assignment Through Final Project In English Language Education Study Program Universitas Brawijaya,2016,"… program studi pendidikan bahasa Inggris Universitas Brawijaya. Penelitian ini menggunakan
… 6 dan 8 Fakultas Studi Budaya, Universitas Brawijaya Malang. Instrumen yang digunakan …"
[PDF] Utilization of LCC (Legume Cover Crop) and bokashi fertilizer for the efficiency of Fe and Mn uptake of former coal mine land,2018,"Coal mining activities have a negative impact on the ecosystem and lead to the disruption of
the environment due to waste disposal containing a high concentration of Fe and Mn. In …"
Characterization of phosphate solubilizing bacteria isolated from Pb contaminated soils and their potential for dissolving tricalcium phosphate,2014,"Phosphorus solubilizing bacteria (PSB) enhances P availability in soils through dissolving
inorganic P pools. The characteristics of PSB and the potential of three Pb tolerant phosphate …"
"Effects of land use on soil degradation in Giriwoyo, Wonogiri, Indonesia",2021,"This study aimed at determining the effect of land use on soil degradation, discovering the
indicator as a determinant factor of soil degradation, and providing recommendations for land …"
"[PDF] Productivity evaluation of Eucalyptus urophylla plantation established in dryland ecosystems, East Nusa Tenggara",2020,"The establishment of the Eucalyptus urophylla plantation has a potential contribution to the
improvement of dryland ecosystem productivity in East Nusa Tenggara. However, the …"
"A critical assessment of community-based tourism practices in Nglanggeran Ecotourism Village, Indonesia",2021,"This study investigates the strategic managerial practices to overcome the developmental
challenges of CBT in the Nglanggeran Ecotourism Village in Yogyakarta, Indonesia. It …"
[PDF] Exploring the potential roles of biochars on land degradation mitigation,2014,"Land degradation was exacerbated and its management was challenged by population growth
and global climate change. The impacts of land degradation on food security, ecosystem …"
"… Ease Of Use, Usefulness, Benefit And Satisfaction In Ovo Electronic Payment (A Case Study On Faculty Of Economics And Business At Universitas Brawijaya)",2019,"Penelitian ini bertujuan untuk menguji pengaruh persepsi risiko, persepsi kemudahan
penggunaan, persepsi manfaat, persepsi manfaat pada persepsi kepuasanyang menggunakan …"
"[PDF] Impact of sand mining on the changes of morphological and physical dynamics in Sa'dang River, Pinrang District, Indonesia",2020,"The research aimed to investigate the morphological changes and physical dynamics
conditions of the Sa’dang River associated with river sand mining activities. The research is …"
"[PDF] The potential of butterflies in tourism diversification product: Case study at Coban Rais waterfall, Batu, East Java",2016,"The diversity of Butterfly in Coban Rais is one of the potential resources for tourism product
diversification and development. The aims of this paper are to determine the magnitude of …"
"[PDF] Application of manure, nitrogen fertilizer, and EM4 to improve growth and yield of red chili (Capsicum annuum L) on an Alfisol",2016,"Red chili is commodity of vegetable that has high economic value, but still has low
productivity. The objective of this study was to elucidate the effect of goat manure and Urea …"
[PDF] Gas chromatographic analysis of medium chain fatty acids in coconut oil,2016,"ABSTRACT Analysis of medium chain of fatty acids in coconut oil becomes important due to
their roles in health issues. The present analysis methods for fatty acids present in food …"
"[PDF] Ecotourism Development Strategy of Bukit Jaddih Karst, Madura",2018,"Bukit Jaddih karst in Bangkalan, Madura, is an ex-limestone mining location managed
partially by individuals or community groups as tourism area. This study aims to develop …"
Utilization of organic fertilizer to increase paddy growth and productivity using System of Rice Intensification (SRI) method in saline soil,2016,"Soil salinity has negative effect on soil biodiversity as well as microbial activities. Hence, rice
growth also effected by salinity. Application of organic fertilizer and adoption of System of …"
Real-Time Energy Monitoring and Management in Educational Institutions: A Case Study of Universitas Brawijaya,2024,"Energy consumption in educational institutions, particularly universities, represents a
significant portion of operational costs and has substantial environmental impacts. This study …"
[PDF] Electric charge characteristics of biofilms formed on various surfaces,2016,"Biofilm is predominant habitats of microbes in aquatic environments. Biofilm forms when
microbes attach on surfaces and produce extracellular polymeric substances. Biofilm matrix has …"
Developing A Content-Based Syllabus Of English For The Study Program Of Development Economics Universitas Brawijaya,2017,"Penelitian ini bertujuan untuk mengembangkan silabus mata kuliah bahasa Inggris untuk
program studi Ekonomi Pembangunan Universitas Brawijaya. Untuk mencapai tujuan tersebut…"
